Index,Name,Difficulty,Number of reviews,Location
#168,"Sunset, Sequoia Bayview, Cindarella, and Sinawik Loop",MODERATE,329,"Joaquin Miller Park
"
#169,Uvas Canyon Waterfalls,MODERATE,313,"Uvas Canyon County Park
"
#170,Tahquitz Canyon Loop Trail,EASY,378,"Santa Rosa and San Jacinto Mountains National Monument
"
#171,Bump and Grind Trail,MODERATE,454,"Santa Rosa and San Jacinto Mountains National Monument
"
#172,Turnbull Canyon Trail,MODERATE,326,"Hellman Wilderness Park
"
#173,Ahwingna and Native Oak Loop Trail,MODERATE,378,"Whittier, California
"
#174,Rainbow Falls via Devils Postpile Trail,EASY,238,"Devils Postpile National Monument
"
#175,Griffith Park Hollywood Sign Trail,MODERATE,249,"Griffith Park
"
#176,Towsley Canyon Loop Trail,MODERATE,344,"Santa Clarita Woodlands Park
"
#177,Rae Lakes Trail,HARD,122,"Kings Canyon National Park
"
#178,Mount Judah Loop Trail,MODERATE,275,"Tahoe National Forest
"
#179,Strawberry Peak Trail via Redbox Canyon,HARD,392,"Angeles National Forest
"
#180,McGinty Mountain Trail,MODERATE,440,"San Diego National Wildlife Refuge
"
#181,Cougar Crest Trail,MODERATE,365,"San Bernardino National Forest
"
#182,Taft Point and The Fissures,EASY,176,"Yosemite National Park
"
#183,Sunset Cliffs Park Trail,EASY,263,"Sunset Cliffs Natural Park
"
#184,Little Lakes Valley to Gem Lakes,MODERATE,194,"John Muir Wilderness
"
#185,Cowles Mountain from Big Rock Trail,MODERATE,381,"Mission Trails Regional Park
"
#186,Vernal and Nevada Falls via the Panorama Trail,HARD,185,"Yosemite National Park
"
#187,Vasquez Rocks Trail,MODERATE,395,"Vasquez Rocks Natural Area Park
"
#188,Bailey Canyon Trail to Jones Peak,HARD,379,"Angeles National Forest
"
#189,Congress Trail,EASY,217,"Sequoia National Park
"
#190,Fortynine Palms Oasis Trail,MODERATE,364,"Joshua Tree National Park
"
#191,Castle Peak Trail,HARD,286,"Tahoe National Forest
"
#192,Fall Creek and Lost Empire Trail Loop,MODERATE,307,"Henry Cowell Redwoods State Park
"
#193,Arch Rock Nature Trail,EASY,217,"Joshua Tree National Park
"
#194,Tennessee Valley Trail,EASY,192,"Marin Headlands
"
#195,Sitton Peak Truck Trail,HARD,491,"San Mateo Canyon Wilderness
"
#196,Inspiration Point Trail,EASY,342,"Will Rogers State Historic Park
"
#197,Bertha Peak Trail,MODERATE,264,"San Bernardino National Forest
"
#198,San Antonio Falls Trail,MODERATE,194,"Angeles National Forest
"
#199,Peters Canyon Loop Trail,MODERATE,357,"Peters Canyon Regional Park
"
#200,Lost Horse Mine Loop Trail,MODERATE,341,"Joshua Tree National Park
"
#201,Whittemore Gulch and Harkins Ridge Loop Trail,HARD,302,"Purisima Creek Redwoods Open Space Preserve
"
#202,Mount Sutro Loop,MODERATE,322,"Mount Sutro Open Space Reserve
"
#203,Lake Miramar Trail,EASY,354,"Lake Miramar
"
#204,"Beach, Bluffs, Panorama, Ridge, and Creamery Meadow Loop",MODERATE,243,"Andrew Molera State Park
"
#205,Ferndell to the West Observatory Loop Trail to Griffith Observatory,EASY,288,"Griffith Park
"
#206,Vital Link Trail,HARD,323,"Wildwood Canyon Park
"
#207,Inspiration Point,MODERATE,326,"Los Padres National Forest
"
#208,Bear Lake Woodland Trail,EASY,402,"San Bernardino National Forest
"
#209,Chiquito Trail to Chiquito Falls,MODERATE,364,"San Mateo Canyon Wilderness
"
#210,Bear Valley Trail To Coastal Trail,MODERATE,239,"Point Reyes National Seashore
"
#211,"Torrey Pines - Red Butte, Yucca Point, and Razor Point",EASY,190,"Torrey Pines State Natural Reserve
"
#212,Deep Creek Hot Springs Trail,MODERATE,243,"San Bernardino National Forest
"
#213,Condor Gulch Trail to High Peaks Trail Loop,HARD,214,"Pinnacles National Park
"
#214,Henninger Flats Trail,MODERATE,249,"Eaton Canyon Natural Area Park
"
#215,Crystal Springs and Dean Trails,EASY,330,"Huddart Park
"
#216,Shipwreck Trail,HARD,309,"Palos Verdes Peninsula, California
"
#217,Bootjack Trail Loop,MODERATE,177,"Muir Woods National Monument
"
#218,Mori Point Loop Trail,MODERATE,342,"Golden Gate National Recreation Area
"
#219,Whiting Ranch Trail,MODERATE,262,"Whiting Ranch Wilderness Park
"
#220,Los Penasquitos Canyon (from Lopez Canyon),EASY,314,"Los Penasquitos Canyon Preserve
"
#221,Baldwin Hills Scenic Overlook Trail,MODERATE,383,"Kenneth Hahn State Recreation Area
"
#222,Cathedral Lakes Trail,MODERATE,130,"Yosemite National Park
"
#223,Old Landing Cove Trail,EASY,246,"Wilder Ranch State Park
"
#224,Skyline-to-the-Sea Trail: Saratoga Gap Route,HARD,217,"Big Basin Redwoods State Park
"
#225,Strawberry Canyon Fire Trail,MODERATE,276,"Claremont Canyon Regional Preserve
"
#226,Mount Diablo Grand Loop Trail,MODERATE,210,"Mount Diablo State Park
"
#227,Tahquitz Peak via Devils Slide Trail,MODERATE,212,"San Jacinto Wilderness
"
#228,Mishe Mokwa to Tri-Peaks and Sandstone Peak,MODERATE,217,"Santa Monica Mountains National Recreation Area
"
#229,Paseo Miramar Trail,MODERATE,158,"Topanga State Park
"
#230,Rock Pool and Century Lake Trails,EASY,189,"Malibu Creek State Park
"
#231,Cleo's Bath Trail via Pinecrest Lake Loop,MODERATE,219,"Stanislaus National Forest
"
#232,John Muir Trail Via Yosemite Valley,HARD,93,"Yosemite National Park
"
#233,Abalone Cove Trail,EASY,207,"Abalone Cove Shoreline Park
"
#234,"Laurel Canyon, Laurel Spur, Willow Trail Loop",MODERATE,275,"Laguna Coast Wilderness Park
"
#235,Upper Natural Bridge Trail,EASY,309,"Vallecito, California
"
#236,Rancho Palos Verdes Coastal Trail,MODERATE,320,"Ocean Trails Reserve
"
#237,Lost Coast Trail: Mattole to Black Sands Beach,MODERATE,181,"King Range Wilderness
"
#238,Walker Canyon Trail,MODERATE,372,"Walker Canyon Ecological Reserve
"
#239,Sage Trail to Cougar Ridge Trail to Boulder Loop,MODERATE,300,"Daley Ranch
"
#240,Franklin Canyon Site Trail,EASY,276,"Franklin Canyon Park
"
#241,Grotto Trail,MODERATE,231,"Santa Monica Mountains National Recreation Area
"
#242,Visitor Center Loop Trail,EASY,338,"Mission Trails Regional Park
"
#243,"Panoramic Hill, Chaparral Peak and Strawberry Canyon Loop",HARD,248,"Claremont Canyon Regional Preserve
"
#244,Badwater Basin Salt Flats Trail,EASY,235,"Death Valley National Park
"
#245,Volcan Mountain Trail,MODERATE,316,"Volcan Mountains Wilderness Preserve
"
#246,Tuolumne Table Mountain,MODERATE,282,"Jamestown, California
"
#247,Carbon Canyon Nature Trail,EASY,346,"Carbon Canyon Regional Park
"
#248,Pumpkin Rock Trail,MODERATE,415,"Ingalls Park
"
#249,Mount Lowe Railway Loop,HARD,180,"Angeles National Forest
"
#250,Devil's Slide to Saddle Junction Trail,MODERATE,238,"San Jacinto Wilderness
"
#251,Rustic Canyon Loop Trail,MODERATE,211,"Topanga State Park
"
#252,"Dunn, Graham and West Ridge Trail Loop",MODERATE,281,"Redwood Regional Park
"
#253,Middle Fork American River Quarry Trail,MODERATE,243,"Auburn State Recreation Area
"
#254,Deer Hollow Farm Trail Loop,EASY,285,"Rancho San Antonio County Park
"
#255,Lake Margaret Trail,MODERATE,198,"El Dorado National Forest
"
#256,Bonelli Park Trail,MODERATE,302,"Frank G Bonelli Regional Park
"
#257,Mount San Antonio via Baldy Bowl Trail,HARD,221,"Angeles National Forest
"
#258,Reef Point and Crystal Cove Trail,MODERATE,224,"Crystal Cove State Park
"
#259,Sunset Peak Trail,MODERATE,250,"Angeles National Forest
"
#260,Kirby Cove,MODERATE,128,"Golden Gate National Recreation Area
"
#261,Duck Pass and Pika Lake Trail,MODERATE,154,"John Muir Wilderness
"
#262,Aliso Creek and Wood Canyon Loop Trail,MODERATE,267,"Aliso and Wood Canyons Wilderness Park
"
#263,Rocky Peak Trail,MODERATE,251,"Rocky Peak Park
"
#264,Mandeville Canyon Trail,MODERATE,231,"Rustic Canyon Park
"
#265,Alum Rock South Rim Trail,EASY,268,"Alum Rock Park
"
#266,Mariposa Grove of Giant Sequoias Trail,MODERATE,186,"Yosemite National Park
"
#267,Sierra Buttes Lookout Trail,MODERATE,178,"Tahoe National Forest
"
#268,Porcupine Creek Trail to Indian Ridge Natural Arch to North Dome,MODERATE,133,"Yosemite National Park
"
#269,Climbers Loop Trail,MODERATE,238,"Mission Trails Regional Park
"
#270,"Schabarum, Purple Sage, and Powder Canyon Loop Trail",EASY,308,"Peter F. Schabarum Regional Park
"
#271,Bolsa Chica Ecological Reserve Trail,EASY,344,"Bolsa Chica State Beach
"
#272,Parker Mesa Overlook Trail,MODERATE,230,"Topanga State Park
"
#273,Twin Lakes Trail,MODERATE,192,"Kaiser Wilderness
"
#274,Vikingsholm Trail,MODERATE,208,"Emerald Bay State Park
"
#275,Timber Mountain,HARD,178,"Cucamonga Wilderness
"
#276,Limekiln Creek Falls Trail,MODERATE,133,"Limekiln State Park
"
#277,Training Hill,HARD,257,"Auburn State Recreation Area
"
#278,"Cataract Falls Trail, High Marsh, Kent Trail, and Helen Market Trail",HARD,145,"Mount Tamalpais Watershed
"
#279,Seven Springs Trail Loop,MODERATE,255,"Fremont Older Open Space Preserve
"
#280,El Dorado Park Nature Trail,EASY,258,"El Dorado East Regional Park
"
#281,Oak Canyon to Grasslands Trail,MODERATE,241,"Mission Trails Regional Park
"
#282,Chilnualna Falls Trail,MODERATE,233,"Yosemite National Park
"
#283,Murray Canyon Trail to Seven Falls,MODERATE,264,"Santa Rosa and San Jacinto Mountains National Monument
"
#284,Gray Whale Cove Trail,EASY,203,"Montara State Beach
"
#285,Parker Lake Trail,EASY,230,"Ansel Adams Wilderness
"
#286,Ho Chi Minh Trail,HARD,260,"La Jolla, California
"
#287,Ralston Peak Trail,MODERATE,227,"El Dorado National Forest
"
#288,Cerro Alto Trail Loop,HARD,237,"Los Padres National Forest
"
#289,Canyon View Trail to Little Yosemite,MODERATE,208,"Sunol Regional Wilderness
"
#290,Santiago Creek Trail and Bobcat Meadow Trail,EASY,239,"Santiago Oaks Regional Park
"
#291,"Coastal Trail, Miwok Trail, and Bonita Lighthouse Loop",MODERATE,142,"Golden Gate National Recreation Area
"
#292,Big Falls Trail,EASY,217,"San Bernardino National Forest
"
#293,Dripping Cave Hollow Oak Trail,MODERATE,273,"Aliso And Wood Canyons Regional Park
"
#294,Mitchell Creek to Diablo Summit,HARD,181,"Mount Diablo State Park
"
#295,Poop Out Trail,HARD,266,"Glendora, California
"
#296,Devil's Gulch Waterfall via East Peak Trail,HARD,369,"Sheep Mountain Wilderness
"
#297,Dipsea Steep Ravine Matt Davis Loop Trail from Pantoll,MODERATE,148,"Mount Tamalpais State Park
"
#298,Buck Gully Trail,EASY,309,"Buck Gully Reserve
"
#299,Murietta Falls Trail,HARD,189,"Del Valle Regional Park
"
#300,Batiquitos Lagoon Trail,EASY,332,"Carlsbad, California
"
#301,Glendale Peak Trail,MODERATE,211,"Griffith Park
"
#302,Tecolote Canyon Trail,MODERATE,358,"Tecolote Canyon Natural Park
"
#303,Independence Trail West,EASY,240,"South Yuba River State Park
"
#304,Rancheria Falls Trail,EASY,209,"Sierra National Forest
"
#305,Dipsea Trail to Steep Ravine Trail Loop from Stinson,MODERATE,130,"Mount Tamalpais State Park
"
#306,Inspiration Point via Sam Merril Trail to Castle Canyon Trail,HARD,171,"Angeles National Forest
"
#307,Cave of Muntiz via El Escorpion Trail,MODERATE,260,"El Escorpion Park
"
#308,Tall Trees Grove Loop Trail,MODERATE,174,"Redwood National Park
"
#309,Skull Rock Nature Trail,EASY,191,"Joshua Tree National Park
"
#310,Musch Trail to Eagle Rock,MODERATE,243,"Topanga State Park
"
#311,Point Dume Cove Trail,EASY,177,"Point Dume State Beach
"
#312,Bronson Caves,EASY,152,"Griffith Park
"
#313,Valencia Peak Trail,HARD,249,"Montana De Oro State Park
"
#314,Burney Falls Loop Trail,EASY,165,"McArthur-Burney Falls Memorial State Park
"
#315,Dripping Springs Campground Trail,MODERATE,253,"Agua Tibia Wilderness
"
#316,Sweeney Ridge Trail via Sneath Lane,MODERATE,244,"Golden Gate National Recreation Area
"
#317,Edgewood Trail Loop,MODERATE,261,"Edgewood Park and Nature Preserve
"
#318,North Table Mountain Ecological Preserve Loop Trail,MODERATE,256,"Bloomer Primitive Recreation Area
"
#319,Bernardo Mountain Summit Trail,MODERATE,268,"San Dieguito River Park
"
#320,El Moro Canyon Short Loop Trail,MODERATE,185,"Crystal Cove State Park
"
#321,Santa Ynez Canyon Waterfall Trail,EASY,165,"Topanga State Park
"
#322,Rodeo Valley Trail To Miwok Trail Loop Via Coastal Trail,HARD,141,"Golden Gate National Recreation Area
"
#323,Island and Twin Lakes,HARD,151,"Desolation Wilderness
"
#324,Baltimore Canyon Via Dawn Falls Trail Loop,MODERATE,254,"Blithedale Summit Open Space Preserve
"
#325,Kenneth Hahn Recreation Area,EASY,267,"Kenneth Hahn State Recreation Area
"
#326,Thousand Island Lake,HARD,43,"Ansel Adams Wilderness
"
#327,Upper Newport Bay Ecological Reserve Loop,EASY,255,"Upper Newport Bay Ecological Reserve
"
#328,Big Laguna Trail,EASY,185,"Cleveland National Forest
"
#329,Clouds Rest Trail from Yosemite Valley,HARD,98,"Yosemite National Park
"
#330,Mesquite Flat Sand Dunes Trail,EASY,162,"Death Valley National Park
"
#331,Angel Falls via Willow Creek Trail,MODERATE,266,"Sierra National Forest
"
#332,Burma Road Trail,MODERATE,167,"Portuguese Bend Reserve
"
#333,Hollenbeck Canyon Trail,MODERATE,279,"Hollenbeck Canyon Wildlife Area
"
#334,Kitchen Creek Falls Trail,MODERATE,254,"Lake Morena County Park
"
#335,Cooper Canyon Falls Trail,MODERATE,118,"Angeles National Forest
"
#336,Caballero Canyon Trail,MODERATE,197,"Santa Monica Mountains National Recreation Area
"
#337,Weir Canyon Trail,EASY,183,"Weir Canyon Regional Park
"
#338,Cholla Cactus Garden Nature Trail,EASY,200,"Joshua Tree National Park
"
