,Name,Difficulty,Number of reviews,Location,Distance,Elevation Gain,Route Type,Features,Rating
10,Upper Yosemite Falls Trail,HARD,919,"Yosemite National Park
",7.2 miles,"3,175 feet",Out & Back,"hiking, nature trips, trail running, bird watching, forest, river, views, waterfall, wild flowers, wildlife, muddy, rocky, snow, no shade, no dogs,",4.8
11,Three Sisters Waterfalls Trail,MODERATE,1274,"Cleveland National Forest
",4.2 miles,997 feet,Out & Back,"dogs on leash, hiking, nature trips, rock climbing, bird watching, forest, river, views, waterfall, wildlife, rocky, scramble, no shade,",4.7
12,Sturtevant Falls Trail,MODERATE,808,"Angeles National Forest
",3.0 miles,646 feet,Out & Back,"dogs on leash, kid friendly, hiking, horseback riding, trail running, walking, forest, partially paved, river, views, waterfall, wild flowers, wildlife, bugs, washed out,",4.3
13,Icehouse Canyon to Cucamonga Peak Trail,HARD,1007,"Cucamonga Wilderness
",11.6 miles,"4,314 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, nature trips, trail running, bird watching, forest, views, waterfall, wild flowers, wildlife, bugs, rocky, snow,",4.8
14,Mount Tallac Trail,HARD,979,"Lake Tahoe Basin Management Unit
",10.2 miles,"3,290 feet",Out & Back,"dog friendly, camping, hiking, nature trips, rock climbing, snowshoeing, forest, lake, views, wild flowers, wildlife, rocky, scramble, snow,",4.8
15,Mount San Antonio and Mount Baldy Notch Trail,HARD,711,"Angeles National Forest
",9.2 miles,"3,940 feet",Loop,"dog friendly, backpacking, hiking, nature trips, snowshoeing, trail running, bird watching, forest, river, views, waterfall, wild flowers, wildlife, rocky, snow, historic site,",4.7
16,Hidden Falls Trail,MODERATE,1058,"Hidden Falls Regional Park
",3.2 miles,475 feet,Loop,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, river, views, waterfall, wild flowers,",4.2
17,"Dipsea, Steep Ravine, and Matt Davis Loop",MODERATE,722,"Mount Tamalpais State Park
",6.8 miles,"1,781 feet",Loop,"hiking, nature trips, trail running, bird watching, beach, forest, views, waterfall, wild flowers, wildlife, muddy, no dogs,",4.7
18,Etiwanda Falls Trail,MODERATE,1342,"North Etiwanda Preserve
",3.4 miles,803 feet,Out & Back,"kid friendly, hiking, nature trips, trail running, walking, bird watching, partially paved, river, views, waterfall, wild flowers, wildlife, rocky, no shade, no dogs,",4.2
19,Echo Mountain via Sam Merrill Trail,MODERATE,1084,"Angeles National Forest
",5.4 miles,"1,417 feet",Out & Back,"dogs on leash, kid friendly, camping, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, river, views, wild flowers, wildlife, bugs, over grown, rocky, no shade, historic site,",4.5
20,Lands End Trail,MODERATE,901,"Golden Gate National Recreation Area
",3.4 miles,534 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, forest, partially paved, views, wild flowers, historic site,",4.6
21,Berry Creek Falls Loop,HARD,888,"West Waddell Creek State Wilderness
",8.8 miles,"2,221 feet",Loop,"hiking, nature trips, forest, river, views, waterfall, wild flowers, wildlife, no dogs,",4.7
22,Castle Rock Trail to Saratoga Gap Trail and Ridge Trail Loop,MODERATE,842,"Castle Rock State Park
",5.5 miles,"1,213 feet",Loop,"kid friendly, backpacking, camping, hiking, horseback riding, mountain biking, nature trips, rock climbing, skiing, trail running, bird watching, cave, forest, river, views, waterfall, wild flowers, wildlife, rocky, scramble, no dogs,",4.5
23,Eagle Lake Trail,MODERATE,700,"Desolation Wilderness
",1.8 miles,433 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, snowshoeing, trail running, walking, bird watching, forest, lake, river, views, waterfall, wild flowers, wildlife, muddy, rocky, snow,",4.6
24,Mount Whitney via Mount Whitney Trail,HARD,735,"Inyo National Forest
",21.9 miles,"6,715 feet",Out & Back,"backpacking, camping, cross country skiing, hiking, rock climbing, snowshoeing, forest, lake, river, views, waterfall, wild flowers, wildlife, bugs, rocky, scramble, snow, no dogs,",4.9
25,Solstice Canyon Loop Trail,EASY,786,"Santa Monica Mountains National Recreation Area
",3.2 miles,797 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, river, views, waterfall, wild flowers, wildlife, bugs, over grown, rocky, no shade, historic site,",4.4
26,Torrey Pines Beach Trail Loop,EASY,857,"Torrey Pines State Natural Reserve
",2.3 miles,364 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, beach, partially paved, views, wild flowers, no shade, no dogs,",4.6
27,Mount Wilson Loop via Sturtevant and Winter Creek Trails,HARD,892,"Chantry Flat Recreation Area
",14.2 miles,"4,291 feet",Loop,"dogs on leash, backpacking, camping, hiking, mountain biking, nature trips, trail running, bird watching, forest, river, views, waterfall, wild flowers, wildlife, bugs, scramble, snow,",4.6
28,Moro Rock Trail,MODERATE,523,"Sequoia National Park
",0.4 miles,187 feet,Out & Back,"hiking, nature trips, rock climbing, walking, bird watching, river, views, waterfall, wild flowers, wildlife, rocky, no dogs,",4.6
29,Lower Yosemite Falls Trail,EASY,666,"Yosemite National Park
",1.0 miles,52 feet,Loop,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, hiking, nature trips, trail running, walking, bird watching, forest, partially paved, river, views, waterfall, wild flowers, wildlife,",4.4
30,Escondido Falls Trail,EASY,987,"Escondido Canyon Park
",3.7 miles,626 feet,Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, river, views, waterfall, wild flowers, wildlife, muddy, rocky,",4.1
31,Runyon Canyon Trail,MODERATE,828,"Runyon Canyon Park
",2.6 miles,764 feet,Loop,"dog friendly, kid friendly, hiking, nature trips, trail running, walking, partially paved, views, no shade,",4.1
32,Cataract Falls Trail,MODERATE,658,"Mount Tamalpais Watershed
",3.3 miles,"1,082 feet",Out & Back,"dogs on leash, kid friendly, hiking, nature trips, trail running, bird watching, forest, lake, river, waterfall, scramble,",4.6
33,Temescal Canyon Trail,MODERATE,739,"Topanga State Park
",2.9 miles,875 feet,Loop,"kid friendly, hiking, trail running, walking, bird watching, views, waterfall, wild flowers, no dogs,",4.4
34,Horsetail Falls Trail,MODERATE,718,"El Dorado National Forest
",3.1 miles,639 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, bird watching, forest, river, views, waterfall, wildlife, muddy, rocky, scramble, snow,",4.6
35,Hoegees Campground Loop: Upper and Lower Winter Creek Trail Loop,MODERATE,536,"Chantry Flat Recreation Area
",5.6 miles,"1,433 feet",Loop,"dog friendly, hiking, mountain biking, nature trips, trail running, walking, forest, partially paved, river, views, wild flowers, wildlife, bugs, rocky,",4.4
36,Vivian Creek Trail to San Gorgonio Peak,HARD,677,"San Gorgonio Wilderness
",17.2 miles,"5,492 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, trail running, forest, river, views, waterfall, wild flowers, wildlife, bugs, rocky, snow,",4.7
37,San Jacinto Peak from The Tramway,HARD,702,"Mount San Jacinto State Park
",10.5 miles,"2,644 feet",Out & Back,"backpacking, camping, hiking, nature trips, rock climbing, trail running, bird watching, forest, river, views, wild flowers, wildlife, bugs, rocky, scramble, snow, historic site, no dogs,",4.7
38,Dawn Mine and Sunset Trail Loop,HARD,548,"Angeles National Forest
",6.0 miles,"1,633 feet",Loop,"dogs on leash, camping, hiking, nature trips, rock climbing, trail running, cave, forest, river, views, waterfall, wild flowers, wildlife, bugs, over grown, scramble,",4.5
39,Cedar Creek Falls Trail,MODERATE,739,"Cleveland National Forest
",4.9 miles,"1,033 feet",Out & Back,"dogs on leash, kid friendly, camping, hiking, nature trips, trail running, walking, bird watching, views, waterfall, wild flowers, rocky, no shade,",4.5
40,Ryan Mountain Trail,MODERATE,865,"Joshua Tree National Park
",3.0 miles,"1,069 feet",Out & Back,"kid friendly, hiking, views, wild flowers, wildlife, rocky, no shade, no dogs,",4.6
41,El Cajon Mountain Trail,HARD,894,"El Capitan County Preserve
",10.6 miles,"3,576 feet",Out & Back,"dog friendly, hiking, mountain biking, nature trips, rock climbing, trail running, bird watching, river, views, wild flowers, wildlife, bugs, rocky, scramble, washed out, no shade,",4.7
42,"Paradise Falls via Mesa, Teepee and Moonridge Trail",MODERATE,665,"Wildwood Regional Park
",2.7 miles,495 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, partially paved, river, views, waterfall, wildlife,",4.4
43,Stevens Trail,MODERATE,832,"Tahoe National Forest
",9.0 miles,"1,735 feet",Out & Back,"dog friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, cave, forest, river, views, waterfall, wild flowers, wildlife, no shade,",4.5
44,Switzer Falls via Gabrielino Trail,MODERATE,532,"San Gabriel Wilderness
",4.3 miles,725 feet,Out & Back,"dogs on leash, kid friendly, camping, hiking, nature trips, walking, bird watching, forest, partially paved, river, views, waterfall, wild flowers, wildlife, bugs, rocky,",4.5
45,El Moro Canyon Loop Trail,MODERATE,674,"Crystal Cove State Park
",5.0 miles,807 feet,Loop,"kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, beach, partially paved, views, wild flowers, wildlife, rocky, no dogs,",4.4
46,Clementine Trail to Clark's Pool,MODERATE,756,"Auburn State Recreation Area
",4.5 miles,698 feet,Out & Back,"kid friendly, fishing, hiking, horseback riding, mountain biking, nature trips, paddle sports, trail running, bird watching, lake, partially paved, river, views, waterfall, wildlife, washed out, no dogs,",4.3
47,Lake Hodges Overlook Trail,MODERATE,805,"Elfin Forest Recreational Reserve
",6.4 miles,"1,371 feet",Out & Back,"dogs on leash, hiking, horseback riding, mountain biking, forest, lake, river, views, wild flowers, wildlife, rocky, no shade,",4.4
48,Tomales Point Trail,MODERATE,605,"Point Reyes National Seashore
",9.4 miles,"1,177 feet",Out & Back,"hiking, horseback riding, nature trips, trail running, walking, bird watching, beach, views, wildlife, over grown, no dogs,",4.7
49,Santa Margarita River Trail,MODERATE,738,"Fallbrook, California
",5.0 miles,469 feet,Out & Back,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, forest, river, views, wild flowers, wildlife, rocky, washed out,",4.3
50,Los Penasquitos Canyon Trail,EASY,805,"Los Penasquitos Canyon Preserve
",6.8 miles,147 feet,Loop,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, river, views, waterfall, wild flowers, wildlife, muddy, rocky,",4.2
51,Rubicon Trail,MODERATE,494,"D. L. Bliss State Park
",16.4 miles,"2,306 feet",Out & Back,"camping, hiking, mountain biking, nature trips, paddle sports, trail running, beach, forest, lake, river, views, waterfall, wild flowers, wildlife, rocky, no dogs,",4.8
52,Heart Rock Trail,EASY,702,"San Bernardino National Forest
",1.7 miles,285 feet,Loop,"dogs on leash, kid friendly, fishing, hiking, nature trips, walking, bird watching, forest, river, views, waterfall, wild flowers, wildlife, bugs,",4.4
53,"French, Bridle and Stream Trail Loop",MODERATE,536,"Redwood Regional Park
",7.0 miles,"1,272 feet",Loop,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, forest, river, views, wild flowers, wildlife,",4.5
54,Glacier Point Trail,EASY,226,"Yosemite National Park
",0.6 miles,236 feet,Out & Back,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, cross country skiing, hiking, nature trips, snowshoeing, walking, bird watching, forest, paved, views, waterfall, wild flowers, wildlife, snow,",4.8
55,Fortuna Mountain Trail,HARD,623,"Mission Trails Regional Park
",6.3 miles,"1,364 feet",Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, bird watching, views, waterfall, wild flowers, wildlife, no shade,",4.5
56,Clouds Rest Trail via Tenaya Lake,HARD,423,"Yosemite National Park
",12.3 miles,"3,113 feet",Out & Back,"backpacking, camping, hiking, horseback riding, nature trips, trail running, bird watching, forest, lake, views, wild flowers, wildlife, rocky, scramble, no dogs,",4.9
57,Sentinel Dome Trail,MODERATE,378,"Yosemite National Park
",2.1 miles,456 feet,Out & Back,"hiking, trail running, forest, views, wild flowers, wildlife,",4.8
58,Four Mile Trail,HARD,513,"Yosemite National Park
",7.5 miles,"3,277 feet",Out & Back,"hiking, nature trips, trail running, bird watching, forest, river, views, waterfall, wild flowers, wildlife, bugs, snow, no dogs,",4.7
59,Claremont Hills Wilderness Trail,MODERATE,736,"Claremont Hills Wilderness Park
",4.7 miles,846 feet,Loop,"dog friendly, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, partially paved, views, wild flowers, wildlife, no shade,",4.4
60,Potato Mountain Wilderness Trail,MODERATE,816,"Herman Garner Biological Preserve
",4.4 miles,"1,148 feet",Out & Back,"dogs on leash, hiking, nature trips, road biking, trail running, bird watching, views, wild flowers, wildlife, rocky, no shade,",4.5
61,Backbone Trail to Sandstone Peak and Mishe Mokwa Trail Loop,MODERATE,648,"Santa Monica Mountains National Recreation Area
",5.7 miles,"1,312 feet",Loop,"dogs on leash, hiking, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife, rocky, scramble,",4.7
62,San Bernardino Peak Trail via Angelus Oaks,HARD,515,"San Gorgonio Wilderness
",15.8 miles,"4,691 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, nature trips, trail running, forest, river, views, wildlife, bugs, rocky, snow,",4.7
63,Castle Rock Trail,MODERATE,637,"San Bernardino National Forest
",2.6 miles,833 feet,Out & Back,"dog friendly, hiking, nature trips, rock climbing, trail running, bird watching, forest, views, wildlife, rocky, scramble, snow,",4.5
64,Big Pine Lakes Trail,HARD,384,"John Muir Wilderness
",13.5 miles,"3,356 feet",Loop,"dog friendly, backpacking, camping, hiking, nature trips, trail running, bird watching, forest, lake, river, views, waterfall, wild flowers, wildlife, rocky,",4.8
65,Homestead to Blue Ridge Loop,HARD,685,"Stebbins Cold Canyon Reserve
",5.1 miles,"1,456 feet",Loop,"hiking, nature trips, bird watching, forest, lake, views, wild flowers, wildlife, bugs, muddy, rocky, no shade, no dogs,",4.5
66,Seaview and Big Springs Trails Loop,MODERATE,591,"Tilden Regional Park
",4.3 miles,984 feet,Loop,"dog friendly, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers,",4.4
67,Mirror Lake via Valley Loop Trail,EASY,533,"Yosemite National Park
",5.6 miles,334 feet,Loop,"wheelchair friendly, kid friendly, stroller friendly, hiking, nature trips, road biking, rock climbing, snowshoeing, trail running, bird watching, forest, lake, paved, river, views, waterfall, wild flowers, wildlife, over grown, rocky, scramble, snow, no dogs,",4.2
68,Palos Verdes Bluffs Trail,MODERATE,493,"Portuguese Bend Reserve
",2.7 miles,557 feet,Loop,"dogs on leash, hiking, horseback riding, mountain biking, rock climbing, trail running, walking, bird watching, views, waterfall, no shade,",4.4
69,Muir Woods Trail,EASY,424,"Muir Woods National Monument
",2.2 miles,144 feet,Loop,"kid friendly, nature trips, walking, forest, partially paved, river, wild flowers, no dogs,",4.5
70,Mount Rubidoux Trail,EASY,843,"Mount Rubidoux Park
",2.7 miles,393 feet,Loop,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, rock climbing, trail running, walking, bird watching, partially paved, rails trails, views, wild flowers,",4.3
71,Point Lobos Loop Trail,EASY,509,"Point Lobos State Natural Reserve
",6.7 miles,741 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, beach, views, wild flowers, wildlife, no dogs,",4.7
72,Mount Baden Powell Trail,HARD,575,"Angeles National Forest
",8.9 miles,"2,788 feet",Out & Back,"dogs on leash, backpacking, hiking, nature trips, rock climbing, snowshoeing, bird watching, forest, views, wild flowers, wildlife, snow,",4.7
73,Donner Creek Loop Trail,MODERATE,428,"Mount Diablo State Park
",5.1 miles,"1,161 feet",Loop,"hiking, nature trips, trail running, walking, bird watching, views, waterfall, wild flowers, wildlife, muddy, no dogs,",4.5
74,Hollyridge Trail to Hollywood Sign Viewpoint,MODERATE,373,"Griffith Park
",5.1 miles,849 feet,Out & Back,"dogs on leash, hiking, horseback riding, mountain biking, nature trips, trail running, walking, partially paved, views, no shade,",4.2
75,Stonewall Peak Trail,EASY,618,"Cuyamaca Rancho State Park
",3.4 miles,813 feet,Out & Back,"kid friendly, hiking, nature trips, rock climbing, trail running, bird watching, forest, views, bugs, over grown, rocky, scramble, snow, no dogs,",4.6
76,South Fortuna Trail and Fortuna Saddle Trail Loop,MODERATE,493,"Mission Trails Regional Park
",5.8 miles,"1,499 feet",Loop,"dogs on leash, backpacking, hiking, nature trips, trail running, bird watching, rails trails, river, views, wild flowers, wildlife, rocky, scramble, no shade,",4.5
77,Ladder Canyon and Painted Canyon Trail,MODERATE,542,"Mecca Hills Wilderness
",4.5 miles,967 feet,Loop,"hiking, nature trips, rock climbing, trail running, bird watching, views, waterfall, wild flowers, wildlife, bugs, rocky, scramble, washed out, no dogs,",4.7
78,Suicide Rock Trail,MODERATE,517,"Mount San Jacinto State Park
",6.3 miles,"1,853 feet",Out & Back,"hiking, nature trips, walking, bird watching, forest, views, wild flowers, wildlife, blowdown, bugs, snow, no dogs,",4.6
79,Lake Poway Loop Trail,MODERATE,761,"Lake Poway Park
",2.5 miles,452 feet,Loop,"dogs on leash, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, lake, views, wild flowers,",4.4
80,Eagle Rock via the PCT,MODERATE,599,"Cleveland National Forest
",6.4 miles,849 feet,Out & Back,"dog friendly, hiking, horseback riding, nature trips, bird watching, forest, views, waterfall, wild flowers, wildlife, rocky, no shade,",4.6
81,Mount Baldy via Devil's Backbone Trail,HARD,374,"Angeles National Forest
",12.5 miles,"3,956 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, partially paved, views, wild flowers, wildlife, no shade,",4.7
82,Quicksilver Trail,MODERATE,524,"Almaden Quicksilver County Park
",4.9 miles,767 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, lake, views, wild flowers, wildlife, muddy,",4.5
83,Skyline Drive to Beek's Place,MODERATE,538,"Cleveland National Forest
",10.9 miles,"2,227 feet",Out & Back,"dogs on leash, hiking, mountain biking, rock climbing, trail running, cave, partially paved, views, wild flowers, wildlife, muddy, rocky, washed out, no shade,",4.4
84,Ice House Canyon Trail,HARD,419,"Cucamonga Wilderness
",7.7 miles,"2,637 feet",Loop,"dogs on leash, camping, hiking, horseback riding, nature trips, trail running, bird watching, forest, river, views, wild flowers, wildlife, bugs, rocky,",4.6
85,Los Liones Canyon and East Topanga Fire Road,HARD,496,"Topanga State Park
",10.7 miles,"2,483 feet",Loop,"hiking, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife, no dogs,",4.5
86,Whittemore Gulch and Purisima Creek Loop Trail,HARD,393,"Purisima Creek Redwoods Open Space Preserve
",9.3 miles,"2,109 feet",Loop,"hiking, horseback riding, nature trips, trail running, bird watching, forest, river, views, wild flowers, wildlife, muddy, no dogs,",4.5
87,Big Horn Mine Trail,EASY,505,"Sheep Mountain Wilderness
",3.9 miles,633 feet,Out & Back,"dogs on leash, hiking, nature trips, walking, bird watching, cave, forest, river, views, rocky, snow, washed out,",4.5
88,Bonita Falls Trail,MODERATE,514,"San Bernardino National Forest
",1.5 miles,334 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, walking, bird watching, forest, river, views, waterfall, wild flowers, wildlife, over grown, rocky,",4
89,Feather Falls Loop Trail,MODERATE,504,"Plumas National Forest
",8.1 miles,"1,732 feet",Loop,"dogs on leash, camping, hiking, nature trips, trail running, walking, bird watching, forest, views, waterfall, wild flowers, wildlife, blowdown, bridge out, bugs, rocky,",4.6
90,Devils Chair Trail,MODERATE,511,"San Gabriel Mountains National Monument
",7.7 miles,"1,584 feet",Out & Back,"dogs on leash, backpacking, hiking, mountain biking, nature trips, trail running, bird watching, river, views, wild flowers, wildlife, rocky, scramble, washed out,",4.5
91,Tokopah Falls via Tokopah Valley Trail,EASY,312,"Sequoia National Park
",4.0 miles,639 feet,Out & Back,"kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, partially paved, river, views, waterfall, wild flowers, wildlife, no dogs,",4.6
92,Murphy Ranch Trail,MODERATE,528,"Rustic Canyon Park
",3.4 miles,633 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, walking, partially paved, views, historic site,",4.3
93,"Heather Lake, Emerald Lake, and Pear Lake Trail via Watchtower and Pear Lake Trails",HARD,235,"Sequoia National Park
",11.8 miles,"2,913 feet",Out & Back,"backpacking, camping, fishing, hiking, nature trips, bird watching, forest, lake, views, waterfall, wild flowers, wildlife, bugs, rocky, snow, no dogs,",4.8
94,"Lake Chabot: West Shore, Bass Cove, Columbine, Honker Bay, East Shore Loop",MODERATE,468,"Lake Chabot Regional Park
",8.4 miles,836 feet,Loop,"dogs on leash, kid friendly, fishing, hiking, horseback riding, mountain biking, paddle sports, trail running, walking, forest, lake, partially paved, views, wildlife, washed out,",4.4
95,Kwaay Paay Peak Trail,MODERATE,502,"Mission Trails Regional Park
",2.3 miles,875 feet,Out & Back,"dogs on leash, camping, hiking, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, rocky,",4.4
96,Lake Aloha Trail,HARD,228,"Desolation Wilderness
",12.5 miles,"1,873 feet",Loop,"dogs on leash, backpacking, camping, fishing, hiking, horseback riding, nature trips, trail running, bird watching, forest, lake, views, wild flowers, wildlife, bugs, rocky,",4.7
97,Mugu Peak Trail,HARD,505,"Point Mugu State Park
",2.7 miles,"1,243 feet",Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, beach, views, wild flowers, no shade, no dogs,",4.5
98,Pyles Peak Trail,MODERATE,436,"Mission Trails Regional Park
",5.3 miles,"1,778 feet",Out & Back,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, views, wild flowers, over grown,",4.4
99,Monserate Mountain Trail Loop,HARD,615,"Fallbrook, California
",4.1 miles,"1,381 feet",Loop,"dogs on leash, hiking, nature trips, trail running, bird watching, views, wild flowers, wildlife,",4.4
100,Lassen Peak,HARD,380,"Lassen Volcanic National Park
",4.4 miles,"1,968 feet",Out & Back,"camping, cross country skiing, hiking, nature trips, rock climbing, trail running, bird watching, forest, lake, hot springs, river, views, wild flowers, wildlife, rocky, snow, no dogs,",4.8
101,"Cataract Falls and Potrero Meadows Loop (Cataract, Helen Market, Kent, Benstein Trails)",MODERATE,326,"Mount Tamalpais Watershed
",8.4 miles,"1,837 feet",Loop,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, forest, lake, river, views, waterfall, wild flowers, wildlife, rocky,",4.7
102,Barker Dam Nature Trail,EASY,374,"Joshua Tree National Park
",1.8 miles,65 feet,Out & Back,"kid friendly, hiking, nature trips, rock climbing, trail running, walking, bird watching, forest, lake, views, wild flowers, wildlife, no dogs,",4.4
103,Waterfalls of Mount Diablo Loop Trail,HARD,382,"Mount Diablo State Park
",7.9 miles,"1,709 feet",Loop,"hiking, nature trips, trail running, walking, bird watching, partially paved, views, waterfall, wild flowers, wildlife, no dogs,",4.4
104,Woodson Mountain and Potato Chip Rock via Hwy 67,MODERATE,568,"Ramona, California
",4.1 miles,"1,220 feet",Out & Back,"dogs on leash, kid friendly, hiking, nature trips, walking, cave, paved, views, wild flowers, wildlife,",4.4
105,"PG&E, Upper High Meadow, Wildcat, Roque Valley and Coyote Loop",MODERATE,373,"Rancho San Antonio County Park
",8.3 miles,"1,624 feet",Loop,"hiking, trail running, walking, bird watching, wild flowers, wildlife, no dogs,",4.4
106,Five Lakes Trail,MODERATE,405,"Tahoe National Forest
",5.0 miles,"1,118 feet",Out & Back,"dog friendly, kid friendly, hiking, horseback riding, nature trips, snowshoeing, forest, lake, river, views, wild flowers, wildlife, muddy, rocky, snow,",4.5
107,Bassi Falls,EASY,342,"El Dorado National Forest
",4.3 miles,505 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, snowshoeing, walking, bird watching, forest, views, waterfall, wild flowers,",4.6
108,Skyline Drive Trail to Water Tank,MODERATE,588,"Hellman Park
",3.7 miles,885 feet,Out & Back,"dog friendly, kid friendly, hiking, trail running, walking, forest, views, wild flowers, bugs,",4.3
109,Lake Calavera Loop Trail,MODERATE,651,"Calavera Park
",4.8 miles,652 feet,Loop,"dogs on leash, mountain biking, trail running, lake, views, wild flowers,",4.1
110,Fryman Canyon Trail,MODERATE,572,"Wilacre Park
",3.3 miles,695 feet,Loop,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, partially paved, views, wild flowers, wildlife,",4.2
111,Paintbrush Trail to Portuguese Bend,MODERATE,270,"Portuguese Bend Reserve
",5.7 miles,"1,138 feet",Loop,"dog friendly, kid friendly, hiking, horseback riding, mountain biking, trail running, bird watching, beach, views, wild flowers, wildlife, over grown, rocky,",4.4
112,Michael D. Antonovich Trail,EASY,519,"Walnut Creek Community Regional Park
",6.0 miles,416 feet,Out & Back,"dog friendly, kid friendly, horseback riding, mountain biking, trail running, walking, lake, river, views, wildlife, bugs, over grown,",4.2
113,Shirley Canyon Cascades Trail,HARD,435,"Tahoe National Forest
",3.0 miles,"1,925 feet",Point to Point,"dog friendly, hiking, nature trips, snowshoeing, trail running, bird watching, forest, lake, views, waterfall, rocky, scramble, snow,",4.7
